volcano_number,last_eruption_year,region,elevation,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,volcano_name,vei,start_year,latitude,longitude
342080,1972,México and Central America,3976,4329,60730,1042836,7634778,Acatenango,1.0,1972.0,14.501,-90.876
342080,1972,México and Central America,3976,4329,60730,1042836,7634778,Acatenango,2.0,1926.0,14.501,-90.876
342080,1972,México and Central America,3976,4329,60730,1042836,7634778,Acatenango,3.0,1924.0,14.501,-90.876
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,950.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,200.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-300.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-400.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-550.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,1.0,-1850.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-2650.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,1.0,-2950.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-3250.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-3550.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,1.0,-3800.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-4050.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-4550.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-5150.0,46.206,-121.49
321040,950,Canada and Western USA,3742,0,70,4019,393303,Adams,2.0,-7050.0,46.206,-121.49
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,1.0,1996.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,2.0,1900.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,2.0,1899.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,1.0,1813.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-590.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-2600.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-4300.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-6150.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-6650.0,37.647,140.281
283170,1996,"Japan, Taiwan, Marianas",1728,428,3936,717078,5024654,Adatarayama,3.0,-8050.0,37.647,140.281
221170,Unknown,Africa and Red Sea,1733,101,485,18645,1242922,Adwa,2.0,1928.0,10.07,40.84
221170,Unknown,Africa and Red Sea,1733,101,485,18645,1242922,Adwa,2.0,1828.0,10.07,40.84
284160,1917,"Japan, Taiwan, Marianas",965,0,0,0,0,Agrigan,4.0,1917.0,18.77,145.67
382090,1564,Atlantic Ocean,947,406,17272,113131,119653,Agua de Pau,2.0,1564.0,37.77,-25.47
382090,1564,Atlantic Ocean,947,406,17272,113131,119653,Agua de Pau,5.0,1563.0,37.77,-25.47
382090,1564,Atlantic Ocean,947,406,17272,113131,119653,Agua de Pau,4.0,-1290.0,37.77,-25.47
382090,1564,Atlantic Ocean,947,406,17272,113131,119653,Agua de Pau,3.0,-1850.0,37.77,-25.47
382090,1564,Atlantic Ocean,947,406,17272,113131,119653,Agua de Pau,5.0,-2990.0,37.77,-25.47
358062,-1250,South America,2546,0,0,103,5698,Aguilera,5.0,-1250.0,-50.33,-73.75
264020,2019,Indonesia,2997,5657,76781,968381,4550176,Agung,3.0,2017.0,-8.343,115.508
264020,2019,Indonesia,2997,5657,76781,968381,4550176,Agung,5.0,1963.0,-8.343,115.508
264020,2019,Indonesia,2997,5657,76781,968381,4550176,Agung,5.0,1843.0,-8.343,115.508
264020,2019,Indonesia,2997,5657,76781,968381,4550176,Agung,2.0,1821.0,-8.343,115.508
264020,2019,Indonesia,2997,5657,76781,968381,4550176,Agung,2.0,1808.0,-8.343,115.508
284141,2014,"Japan, Taiwan, Marianas",-75,0,0,0,0,Ahyi,0.0,2014.0,20.42,145.03
284141,2014,"Japan, Taiwan, Marianas",-75,0,0,0,0,Ahyi,0.0,2001.0,20.42,145.03
284141,2014,"Japan, Taiwan, Marianas",-75,0,0,0,0,Ahyi,0.0,1979.0,20.42,145.03
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,1.0,2017.0,31.593,130.657
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,3.0,1955.0,31.593,130.657
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,1.0,1954.0,31.593,130.657
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,1.0,1950.0,31.593,130.657
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,1.0,1948.0,31.593,130.657
282080,2020,"Japan, Taiwan, Marianas",1117,4918,113874,905254,2610033,Aira,2.0,1946.0,31.593,130.657
